prior_type,kg_lambda,split,metric,delta,ci95_low,ci95_high,bootstrap_p_two_sided
binary_coverage,0.2,test,MRR@10,0.027349441812792596,0.019074498254799302,0.03582630405274384,0.0
binary_coverage,0.2,test,Recall@10,0.0262613339631802,0.014937936573545555,0.03795822999908147,0.0
binary_coverage,0.2,test,nDCG@10,0.02475414502189191,0.01784096598517543,0.03167117812621215,0.0
degree_centrality,0.2,test,MRR@10,0.02798103825590736,0.019589349774231973,0.0365419229064517,0.0
degree_centrality,0.2,test,Recall@10,0.027133934312220342,0.015737779221176855,0.03899277535024297,0.0
degree_centrality,0.2,test,nDCG@10,0.025431512407096835,0.01846079275387703,0.03238353719934962,0.0
