method,setting,setting_label,single_hop_j,multi_hop_j,temporal_j,open_domain_j,adversarial_j,overall_j
Dense+GlobalKG,a_unified,Cat.✗,76.09988109393579,51.773049645390074,53.58255451713396,41.666666666666664,38.789237668161434,58.962739174219536
Dense+GlobalKG,b_category,Cat.✓,74.07847800237812,54.255319148936174,61.059190031152646,44.791666666666664,87.89237668161435,70.84592145015105
