op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,edge_count,logical_mutations,commit_ms,graph_visible_ms,relation_candidates_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,graph_projection_ok,relation_candidate_ok,candidate_count
r1_measured_00001,neo4j-native,8,1,lr000013::conv-42_qa_197,lr000013::conv-42,lr000013::conv-42_session_29_D29:8,1,8,76.4549,100.4058,120.5579,149.7105,194.1847,209.6289,3.26,0.8382,0.3325,408.3189,1,1,1,628
r1_measured_00037,neo4j-native,8,1,lr000014::conv-41_qa_98,lr000014::conv-41,lr000014::conv-41_session_15_D15:13,1,11,4.964,24.3783,39.9275,66.3846,116.2843,266.5907,1.8929,0.7464,0.3229,385.9075,1,1,1,660
r1_measured_00048,neo4j-native,8,1,lr000013::conv-30_qa_9,lr000013::conv-30,lr000013::conv-30_session_2_D2:5,1,9,4.8846,22.409,39.0494,56.3265,82.1032,134.94,0.3153,0.2485,0.3342,217.9914,1,1,1,366
r1_measured_00073,neo4j-native,8,1,lr000008::conv-26_qa_68,lr000008::conv-26,lr000008::conv-26_session_16_D16:8,2,15,6.9701,25.7928,70.5006,88.9206,123.7739,177.1499,0.9766,0.5287,0.4486,302.9364,1,1,1,417
r1_measured_00080,neo4j-native,8,1,lr000002::conv-41_qa_0,lr000002::conv-41,lr000002::conv-41_session_13_D13:16,0,3,2.8689,24.6233,24.6275,58.4868,111.2283,223.4048,1.6834,0.4717,0.3372,337.1895,1,1,1,663
r1_measured_00119,neo4j-native,8,1,lr000001::conv-42_qa_19,lr000001::conv-42,lr000001::conv-42_session_8_D8:4,1,8,6.9795,32.366,50.61,74.2345,122.3959,226.2996,3.8414,0.4775,0.3493,353.434,1,1,1,627
r1_measured_00125,neo4j-native,8,1,lr000012::conv-30_qa_41,lr000012::conv-30,lr000012::conv-30_session_1_D1:17,1,8,4.2094,20.8653,38.1349,53.4025,87.3211,122.7356,1.0779,0.2443,0.3318,211.7717,1,1,1,368
r1_measured_00155,neo4j-native,8,1,lr000014::conv-41_qa_136,lr000014::conv-41,lr000014::conv-41_session_27_D27:13,0,3,3.2877,25.6931,25.6975,52.912,93.8686,233.2882,3.5063,0.5925,0.3137,331.6308,1,1,1,661
r1_measured_00169,neo4j-native,8,1,lr000003::conv-47_qa_93,lr000003::conv-47,lr000003::conv-47_session_12_D12:5,0,3,4.257,23.35,23.3541,48.8424,99.3883,231.6477,5.0126,0.5121,0.3105,336.941,1,1,1,687
r1_measured_00231,neo4j-native,8,1,lr000003::conv-47_qa_5,lr000003::conv-47,lr000003::conv-47_session_3_D3:11,0,3,3.812,27.8029,27.8145,59.0695,125.4907,252.3612,2.2821,0.4116,0.2948,,0,1,1,688
r1_measured_00233,neo4j-native,8,1,lr000014::conv-48_qa_112,lr000014::conv-48,lr000014::conv-48_session_6_D6:4,1,9,5.3422,32.4568,50.4762,77.4125,135.3179,231.1457,3.2231,0.4016,0.2965,370.446,1,1,1,679
r1_measured_00273,neo4j-native,8,1,lr000005::conv-42_qa_44,lr000005::conv-42,lr000005::conv-42_session_22_D22:2,1,17,5.5342,31.2127,51.2978,100.8885,165.3353,235.6944,4.9691,0.3734,0.3083,406.7385,1,1,1,629
r1_measured_00274,neo4j-native,8,1,lr000013::conv-50_qa_59,lr000013::conv-50,lr000013::conv-50_session_2_D2:1,1,7,4.5955,31.2575,60.2095,85.4818,129.7006,198.661,1.375,0.8982,0.3345,331.035,1,1,1,564
