op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,edge_count,logical_mutations,commit_ms,graph_visible_ms,relation_candidates_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,graph_projection_ok,relation_candidate_ok,candidate_count
r0_measured_00015,neo4j-native,8,0,lr000007::conv-48_qa_116,lr000007::conv-48,lr000007::conv-48_session_7_D7:20,1,8,4.9579,27.8538,43.485,71.5202,121.5274,235.7483,3.4439,0.6898,0.3399,361.8225,1,1,1,681
r0_measured_00024,neo4j-native,8,0,lr000010::conv-30_qa_60,lr000010::conv-30,lr000010::conv-30_session_9_D9:5,1,7,5.3245,22.5455,37.4366,53.8162,83.5561,130.0805,0.7562,0.3324,0.3321,,0,1,1,367
r0_measured_00070,neo4j-native,8,0,lr000007::conv-43_qa_115,lr000007::conv-43,lr000007::conv-43_session_13_D13:4,1,11,4.505,26.0361,43.4911,68.9437,122.3002,243.3696,3.1092,0.496,0.3325,369.6831,1,1,1,677
r0_measured_00094,neo4j-native,8,0,lr000016::conv-49_qa_116,lr000016::conv-49,lr000016::conv-49_session_11_D11:8,0,3,3.5117,26.8266,26.833,52.2241,88.5495,239.4665,2.6212,0.4471,0.3006,331.4457,1,1,1,509
r0_measured_00097,neo4j-native,8,0,lr000007::conv-47_qa_94,lr000007::conv-47,lr000007::conv-47_session_13_D13:8,1,13,4.7094,26.1694,46.6053,72.0542,126.7745,275.4736,2.7006,0.5113,0.4005,,0,1,1,688
r0_measured_00115,neo4j-native,8,0,lr000009::conv-26_qa_8,lr000009::conv-26,lr000009::conv-26_session_3_D3:1,2,12,5.1767,27.6819,57.8105,81.3459,113.4992,142.2086,1.0001,0.2485,0.3242,257.3286,1,1,1,416
r0_measured_00132,neo4j-native,8,0,lr000008::conv-26_qa_66,lr000008::conv-26,lr000008::conv-26_session_16_D16:4,1,8,5.8303,26.6629,42.6533,61.741,91.9402,142.7457,1.1282,0.3568,0.3156,,0,1,1,418
r0_measured_00143,neo4j-native,8,0,lr000010::conv-48_qa_112,lr000010::conv-48,lr000010::conv-48_session_6_D6:4,1,9,5.2931,23.8018,67.0259,93.6155,143.3722,235.4828,3.4705,0.692,0.3454,383.4358,1,1,1,681
r0_measured_00157,neo4j-native,8,0,lr000013::conv-50_qa_59,lr000013::conv-50,lr000013::conv-50_session_2_D2:1,1,7,3.8124,37.0225,67.69,91.5588,141.2553,196.3661,1.1324,0.4847,0.3874,339.691,1,1,1,566
r0_measured_00190,neo4j-native,8,0,lr000014::conv-50_qa_25,lr000014::conv-50,lr000014::conv-50_session_15_D15:1,1,7,5.227,23.2687,40.9098,66.9858,115.7282,217.1036,2.849,0.4506,0.3489,336.5417,1,1,1,565
