op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,edge_count,logical_mutations,commit_ms,graph_visible_ms,relation_candidates_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,graph_projection_ok,relation_candidate_ok,candidate_count
r2_measured_01332,cassandra-base,8,2,lr000004::conv-42_qa_123,lr000004::conv-42,lr000004::conv-42_session_13_D13:11,0,2,7.1622,26.4337,26.4383,52.9622,122.184,22.835,11.8378,1.8477,0.3644,159.1459,1,1,1,628
r2_measured_01336,cassandra-base,8,2,lr000011::conv-26_qa_28,lr000011::conv-26,lr000011::conv-26_session_8_D8:9,1,14,5.6958,37.157,45.5104,68.6794,112.7645,22.7517,1.405,0.4186,0.357,137.7522,1,1,1,416
r2_measured_01362,cassandra-base,8,2,lr000001::conv-41_qa_12,lr000001::conv-41,lr000001::conv-41_session_8_D8:18,1,9,8.2337,61.5322,71.4906,111.8462,259.424,12.5094,0.7235,0.5618,0.3443,273.6274,1,1,1,661
r2_measured_01423,cassandra-base,8,2,lr000016::conv-26_qa_53,lr000016::conv-26,lr000016::conv-26_session_13_D13:1,2,32,6.2452,33.9186,44.8212,72.2178,90.1979,4.2061,3.2191,0.2496,0.3203,98.2417,1,1,1,419
r2_measured_01454,cassandra-base,8,2,lr000001::conv-43_qa_164,lr000001::conv-43,lr000001::conv-43_session_27_D27:6,1,14,7.2254,101.2845,106.1946,144.9545,156.7368,19.1907,5.4696,0.7022,0.3363,182.5066,1,1,1,680
r2_measured_01516,cassandra-base,8,2,lr000006::conv-49_qa_72,lr000006::conv-49,lr000006::conv-49_session_20_D20:6,1,9,20.021,54.612,62.3472,96.9752,236.7737,16.9342,6.5357,0.3611,0.3753,261.0499,1,1,1,508
r2_measured_01547,cassandra-base,8,2,lr000000::conv-42_qa_195,lr000000::conv-42,lr000000::conv-42_session_28_D28:29,0,2,5.0039,37.4552,37.4594,70.8192,181.4016,7.269,6.2355,1.0539,0.3715,,0,1,1,627
r2_measured_01553,cassandra-base,8,2,lr000000::conv-43_qa_139,lr000000::conv-43,lr000000::conv-43_session_19_D19:9,1,9,7.6202,53.5076,57.4908,115.8147,181.642,8.5313,11.716,71.1922,0.4551,273.621,1,1,1,680
r2_measured_01558,cassandra-base,8,2,lr000009::conv-42_qa_187,lr000009::conv-42,lr000009::conv-42_session_28_D28:12,1,24,8.0387,45.5582,76.8519,106.531,171.7688,5.5246,9.6878,1.4184,0.3648,188.8334,1,1,1,626
r2_measured_01563,cassandra-base,8,2,lr000016::conv-30_qa_68,lr000016::conv-30,lr000016::conv-30_session_14_D14:17,0,2,5.2382,79.5031,79.5082,99.7728,135.3055,5.8017,1.2988,0.2668,0.3624,,0,1,1,369
r2_measured_01591,cassandra-base,8,2,lr000014::conv-44_qa_4,lr000014::conv-44,lr000014::conv-44_session_3_D3:18,1,9,77.0118,106.6169,113.6423,154.8351,206.5421,23.8249,6.7596,0.577,0.3964,238.1761,1,1,1,674
r2_measured_01626,cassandra-base,8,2,lr000012::conv-26_qa_0,lr000012::conv-26,lr000012::conv-26_session_1_D1:3,1,14,5.1239,23.3549,32.142,60.6294,69.1734,14.766,1.1232,0.3059,0.5794,86.033,1,1,1,419
r2_measured_01640,cassandra-base,8,2,lr000002::conv-44_qa_41,lr000002::conv-44,lr000002::conv-44_session_19_D19:12,1,9,6.5982,38.1546,45.8905,117.6482,260.1141,7.4955,10.3131,0.6851,0.3416,279.0127,1,1,1,674
r2_measured_01643,cassandra-base,8,2,lr000014::conv-42_qa_75,lr000014::conv-42,lr000014::conv-42_session_3_D3:4,0,2,7.2642,64.5307,64.5358,109.1472,244.8449,6.273,2.6004,1.7444,0.4006,,0,1,1,627
r2_measured_01649,cassandra-base,8,2,lr000009::conv-26_qa_119,lr000009::conv-26,lr000009::conv-26_session_10_D10:18,0,2,7.699,77.3543,77.3585,100.3353,224.0476,4.619,3.1155,0.2514,0.3504,232.4381,1,1,1,419
r2_measured_01678,cassandra-base,8,2,lr000010::conv-41_qa_80,lr000010::conv-41,lr000010::conv-41_session_8_D8:15,0,2,4.9307,15.745,15.7494,50.4295,118.6156,12.5566,24.577,0.8878,0.3594,157.0755,1,1,1,663
r2_measured_01680,cassandra-base,8,2,lr000013::conv-41_qa_149,lr000013::conv-41,lr000013::conv-41_session_31_D31:1,1,14,4.5489,46.0825,53.5712,85.9291,161.63,5.9148,7.1966,2.1882,0.3346,177.333,1,1,1,663
r2_measured_01689,cassandra-base,8,2,lr000014::conv-42_qa_37,lr000014::conv-42,lr000014::conv-42_session_19_D19:1,1,14,9.6722,30.7187,37.68,67.3617,240.2946,5.0092,2.5628,0.4014,0.3037,248.6306,1,1,1,627
r2_measured_01705,cassandra-base,8,2,lr000013::conv-49_qa_37,lr000013::conv-49,lr000013::conv-49_session_3_D3:2,1,9,7.3845,26.7887,30.9608,61.4785,183.4759,9.0463,64.8925,0.6675,0.2848,,0,1,1,509
r2_measured_01712,cassandra-base,8,2,lr000005::conv-43_qa_138,lr000005::conv-43,lr000005::conv-43_session_19_D19:6,1,10,7.6842,38.9475,44.1246,146.4348,164.5535,8.5408,62.5077,0.6449,0.2914,236.6099,1,1,1,680
r2_measured_01724,cassandra-base,8,2,lr000009::conv-48_qa_163,lr000009::conv-48,lr000009::conv-48_session_22_D22:25,0,2,9.8386,53.8885,53.9072,100.2365,104.3381,11.1708,7.8483,0.438,0.3954,124.2576,1,1,1,680
r2_measured_01749,cassandra-base,8,2,lr000001::conv-26_qa_0,lr000001::conv-26,lr000001::conv-26_session_1_D1:3,1,14,3.1566,30.6372,36.2736,67.2073,88.7412,27.0494,13.7381,0.3135,0.3896,130.2968,1,1,1,417
r2_measured_01766,cassandra-base,8,2,lr000008::conv-43_qa_116,lr000008::conv-43,lr000008::conv-43_session_13_D13:6,1,12,5.4268,29.0534,39.3894,82.5133,148.1105,15.0269,13.7762,1.1167,0.3769,178.4942,1,1,1,680
r2_measured_01786,cassandra-base,8,2,lr000016::conv-48_qa_67,lr000016::conv-48,lr000016::conv-48_session_23_D23:15,0,2,5.2284,23.8513,23.8557,55.7658,112.2946,11.155,50.1601,6.3639,0.46,180.5116,1,1,1,678
