op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,edge_count,logical_mutations,commit_ms,graph_visible_ms,relation_candidates_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,graph_projection_ok,relation_candidate_ok,candidate_count
r0_measured_00015,cassandra-base,16,0,lr000007::conv-48_qa_116,lr000007::conv-48,lr000007::conv-48_session_7_D7:20,1,9,52.6763,191.3067,212.264,267.023,621.5557,9.2488,23.5159,4.8843,0.3642,659.6409,1,1,1,681
r0_measured_00024,cassandra-base,16,0,lr000010::conv-30_qa_60,lr000010::conv-30,lr000010::conv-30_session_9_D9:5,1,8,15.2312,176.8511,185.6876,211.7921,350.5241,29.2636,4.4703,0.3416,0.3604,,0,1,1,367
r0_measured_00070,cassandra-base,16,0,lr000007::conv-43_qa_115,lr000007::conv-43,lr000007::conv-43_session_13_D13:4,1,12,3.5934,46.1419,55.7722,96.3693,466.4823,7.0633,3.8182,0.4774,0.2942,478.192,1,1,1,677
r0_measured_00094,cassandra-base,16,0,lr000016::conv-49_qa_116,lr000016::conv-49,lr000016::conv-49_session_11_D11:8,0,2,35.3686,96.4181,96.4224,154.0293,433.4088,21.9195,13.1481,1.7253,0.4324,470.6955,1,1,1,509
r0_measured_00097,cassandra-base,16,0,lr000007::conv-47_qa_94,lr000007::conv-47,lr000007::conv-47_session_13_D13:8,1,14,19.8782,87.6047,107.1605,140.7612,518.6236,8.6919,40.9617,0.8645,0.3422,,0,1,1,688
r0_measured_00115,cassandra-base,16,0,lr000009::conv-26_qa_8,lr000009::conv-26,lr000009::conv-26_session_3_D3:1,2,15,8.6895,96.5406,119.3174,179.6711,371.7794,9.6242,3.7993,0.3507,0.3714,385.9876,1,1,1,416
r0_measured_00132,cassandra-base,16,0,lr000008::conv-26_qa_66,lr000008::conv-26,lr000008::conv-26_session_16_D16:4,1,9,27.1139,82.6374,91.3592,127.3375,312.4977,21.1403,5.9251,0.7805,0.4862,,0,1,1,418
r0_measured_00143,cassandra-base,16,0,lr000010::conv-48_qa_112,lr000010::conv-48,lr000010::conv-48_session_6_D6:4,1,10,10.0427,84.9364,91.8719,123.2327,443.9806,5.2558,17.3513,1.3005,0.3125,468.2591,1,1,1,681
r0_measured_00157,cassandra-base,16,0,lr000013::conv-50_qa_59,lr000013::conv-50,lr000013::conv-50_session_2_D2:1,1,8,5.8579,55.6861,64.1864,96.4853,286.9749,13.6605,7.4875,12.0629,0.5213,320.8032,1,1,1,566
r0_measured_00190,cassandra-base,16,0,lr000014::conv-50_qa_25,lr000014::conv-50,lr000014::conv-50_session_15_D15:1,1,8,13.2238,61.2485,72.5003,136.4672,346.476,19.5736,26.6654,0.7105,0.514,394.0094,1,1,1,565
r0_measured_00196,cassandra-base,16,0,lr000001::conv-47_qa_4,lr000001::conv-47,lr000001::conv-47_session_3_D3:5,0,2,6.4392,36.8423,36.8467,123.5166,346.0506,35.3312,26.0785,8.7551,0.603,,0,1,1,686
r0_measured_00205,cassandra-base,16,0,lr000011::conv-44_qa_105,lr000011::conv-44,lr000011::conv-44_session_23_D23:14,1,12,5.2881,67.8571,77.0801,110.0381,321.8205,34.2361,37.2216,0.471,0.3536,417.3664,1,1,1,674
r0_measured_00209,cassandra-base,16,0,lr000011::conv-44_qa_18,lr000011::conv-44,lr000011::conv-44_session_11_D11:4,1,10,21.2806,82.7661,92.1869,328.1049,636.5372,18.0011,10.4138,1.4273,0.3091,,0,1,1,674
r0_measured_00241,cassandra-base,16,0,lr000000::conv-48_qa_133,lr000000::conv-48,lr000000::conv-48_session_13_D13:5,1,16,2.7849,44.6296,56.8198,90.6287,192.1167,13.6038,32.0858,2.6805,0.4473,,0,1,1,681
r0_measured_00254,cassandra-base,16,0,lr000013::conv-44_qa_58,lr000013::conv-44,lr000013::conv-44_session_25_D25:14,1,9,7.2468,63.6185,71.3271,104.4921,241.9799,16.9323,34.1759,1.4129,0.3582,294.9259,1,1,1,674
r0_measured_00281,cassandra-base,16,0,lr000000::conv-48_qa_80,lr000000::conv-48,lr000000::conv-48_session_10_D10:20,0,2,4.4138,63.7054,63.7095,106.6958,373.0481,24.0731,15.1858,0.5242,0.3599,413.2665,1,1,1,681
r0_measured_00296,cassandra-base,16,0,lr000015::conv-41_qa_61,lr000015::conv-41,lr000015::conv-41_session_31_D31:2,1,16,9.201,50.4386,66.966,114.5499,293.0248,21.5763,20.1127,1.7099,0.3794,336.8809,1,1,1,661
r0_measured_00379,cassandra-base,16,0,lr000007::conv-43_qa_121,lr000007::conv-43,lr000007::conv-43_session_14_D14:7,0,2,15.5696,70.3858,70.39,135.4242,542.869,31.5826,18.1417,0.9744,0.3456,600.6998,1,1,1,679
r0_measured_00380,cassandra-base,16,0,lr000004::conv-30_qa_56,lr000004::conv-30,lr000004::conv-30_session_6_D6:15,1,9,17.1111,86.0814,111.9922,139.7864,342.807,88.4296,27.0999,0.2051,0.2926,,0,1,1,366
r0_measured_00412,cassandra-base,16,0,lr000007::conv-44_qa_117,lr000007::conv-44,lr000007::conv-44_session_27_D27:2,1,9,24.0947,77.6094,115.719,166.8986,495.2082,15.5359,9.7016,0.5754,0.3211,521.4053,1,1,1,673
