op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,edge_count,logical_mutations,commit_ms,graph_visible_ms,relation_candidates_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,graph_projection_ok,relation_candidate_ok,candidate_count
r0_measured_00015,cassandra-base,32,0,lr000007::conv-48_qa_116,lr000007::conv-48,lr000007::conv-48_session_7_D7:20,1,9,8.8095,326.8478,380.4975,432.0744,1165.4344,30.1492,42.1299,0.9161,0.4191,1239.1233,1,1,1,681
r0_measured_00024,cassandra-base,32,0,lr000010::conv-30_qa_60,lr000010::conv-30,lr000010::conv-30_session_9_D9:5,1,8,134.0028,372.3792,436.2674,471.6116,942.0633,15.4069,6.6303,15.9767,0.5333,,0,1,1,367
r0_measured_00070,cassandra-base,32,0,lr000007::conv-43_qa_115,lr000007::conv-43,lr000007::conv-43_session_13_D13:4,1,12,28.2465,257.2789,355.3132,458.7263,1046.3703,14.3464,14.1773,0.5331,0.3451,1075.8348,1,1,1,677
r0_measured_00094,cassandra-base,32,0,lr000016::conv-49_qa_116,lr000016::conv-49,lr000016::conv-49_session_11_D11:8,0,2,32.3135,312.4833,312.4879,375.5772,870.8346,7.1264,11.9948,1.0315,0.4252,891.4798,1,1,1,509
r0_measured_00097,cassandra-base,32,0,lr000007::conv-47_qa_94,lr000007::conv-47,lr000007::conv-47_session_13_D13:8,1,14,28.1934,293.247,376.5044,412.699,1161.2794,19.7739,35.9536,3.1181,0.3729,,0,1,1,688
r0_measured_00115,cassandra-base,32,0,lr000009::conv-26_qa_8,lr000009::conv-26,lr000009::conv-26_session_3_D3:1,2,15,31.3795,341.9737,415.3489,494.8921,851.6626,20.7955,26.9703,0.3178,0.4096,900.2177,1,1,1,416
r0_measured_00132,cassandra-base,32,0,lr000008::conv-26_qa_66,lr000008::conv-26,lr000008::conv-26_session_16_D16:4,1,9,42.9117,329.1802,358.5239,422.6217,855.9834,21.1862,1.5624,0.3032,0.3564,,0,1,1,418
r0_measured_00143,cassandra-base,32,0,lr000010::conv-48_qa_112,lr000010::conv-48,lr000010::conv-48_session_6_D6:4,1,10,45.0922,311.628,363.7796,452.1893,1101.7566,27.2094,31.1379,3.6217,0.3613,1164.171,1,1,1,681
r0_measured_00157,cassandra-base,32,0,lr000013::conv-50_qa_59,lr000013::conv-50,lr000013::conv-50_session_2_D2:1,1,8,36.4509,281.6289,358.7195,408.3549,1003.8214,33.9268,9.1595,1.5448,0.3878,1048.9152,1,1,1,566
r0_measured_00190,cassandra-base,32,0,lr000014::conv-50_qa_25,lr000014::conv-50,lr000014::conv-50_session_15_D15:1,1,8,51.9909,218.4436,253.6753,334.8418,902.3604,21.7264,41.0946,8.2593,0.3876,973.8989,1,1,1,565
