op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,edge_count,logical_mutations,commit_ms,graph_visible_ms,relation_candidates_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,graph_projection_ok,relation_candidate_ok,candidate_count
r0_measured_00015,neo4j-native,32,0,lr000007::conv-48_qa_116,lr000007::conv-48,lr000007::conv-48_session_7_D7:20,1,8,14.4801,135.1141,166.4303,214.8772,413.3417,1119.9248,8.7216,1.0167,0.367,1543.472,1,1,1,681
r0_measured_00024,neo4j-native,32,0,lr000010::conv-30_qa_60,lr000010::conv-30,lr000010::conv-30_session_9_D9:5,1,7,8.8645,119.8013,180.9408,202.5707,319.787,567.668,4.1231,0.3176,0.3738,,0,1,1,367
r0_measured_00070,neo4j-native,32,0,lr000007::conv-43_qa_115,lr000007::conv-43,lr000007::conv-43_session_13_D13:4,1,11,11.8782,53.6146,77.0329,114.0868,382.4826,1188.2426,10.5534,0.5044,0.3441,1582.2096,1,1,1,677
r0_measured_00094,neo4j-native,32,0,lr000016::conv-49_qa_116,lr000016::conv-49,lr000016::conv-49_session_11_D11:8,0,3,10.7845,44.3063,44.311,73.7091,271.9215,835.7394,10.8322,0.864,0.3485,1119.7757,1,1,1,509
r0_measured_00097,neo4j-native,32,0,lr000007::conv-47_qa_94,lr000007::conv-47,lr000007::conv-47_session_13_D13:8,1,13,6.8565,47.2686,74.2693,109.8337,379.8244,1090.8346,12.7117,1.1438,0.4112,,0,1,1,688
r0_measured_00115,neo4j-native,32,0,lr000009::conv-26_qa_8,lr000009::conv-26,lr000009::conv-26_session_3_D3:1,2,12,6.1282,50.0719,105.1447,128.6831,272.5697,722.6,2.461,1.2119,0.519,999.4485,1,1,1,416
r0_measured_00132,neo4j-native,32,0,lr000008::conv-26_qa_66,lr000008::conv-26,lr000008::conv-26_session_16_D16:4,1,8,6.8395,36.8157,57.2166,90.351,236.132,775.8037,2.6378,1.2496,0.32,,0,1,1,418
r0_measured_00143,neo4j-native,32,0,lr000010::conv-48_qa_112,lr000010::conv-48,lr000010::conv-48_session_6_D6:4,1,9,6.8544,47.3223,69.4899,113.53,378.0479,1213.1828,15.9477,1.1398,0.4278,1608.8773,1,1,1,681
r0_measured_00157,neo4j-native,32,0,lr000013::conv-50_qa_59,lr000013::conv-50,lr000013::conv-50_session_2_D2:1,1,7,7.1306,63.6563,103.2479,139.0572,330.5234,1046.0833,6.0038,0.896,0.3689,1383.9488,1,1,1,566
r0_measured_00190,neo4j-native,32,0,lr000014::conv-50_qa_25,lr000014::conv-50,lr000014::conv-50_session_15_D15:1,1,7,7.278,48.7287,92.0835,131.8293,362.1411,893.1996,13.8771,1.2852,0.3692,1270.9475,1,1,1,565
r0_measured_00196,neo4j-native,32,0,lr000001::conv-47_qa_4,lr000001::conv-47,lr000001::conv-47_session_3_D3:5,0,3,6.3056,45.3981,45.4029,87.625,327.6536,1070.7159,7.6722,0.7414,0.3756,,0,1,1,686
r0_measured_00205,neo4j-native,32,0,lr000011::conv-44_qa_105,lr000011::conv-44,lr000011::conv-44_session_23_D23:14,1,11,8.3299,37.7826,67.8145,100.5373,333.1333,1234.6884,23.6277,0.5721,0.3799,1592.4935,1,1,1,674
r0_measured_00209,neo4j-native,32,0,lr000011::conv-44_qa_18,lr000011::conv-44,lr000011::conv-44_session_11_D11:4,1,9,7.9802,35.8094,57.7296,232.4455,488.9748,1207.0634,5.5858,0.7436,0.3619,,0,1,1,674
r0_measured_00241,neo4j-native,32,0,lr000000::conv-48_qa_133,lr000000::conv-48,lr000000::conv-48_session_13_D13:5,1,15,7.6822,108.6541,134.9261,172.0294,429.4912,1142.5117,4.1996,0.5012,0.3764,,0,1,1,680
r0_measured_00254,neo4j-native,32,0,lr000013::conv-44_qa_58,lr000013::conv-44,lr000013::conv-44_session_25_D25:14,1,8,9.3671,48.1083,68.3773,111.1726,365.3962,1109.259,7.4861,0.8494,0.3734,1483.4484,1,1,1,674
r0_measured_00281,neo4j-native,32,0,lr000000::conv-48_qa_80,lr000000::conv-48,lr000000::conv-48_session_10_D10:20,0,3,10.4863,55.9909,55.9947,88.9447,342.9377,1255.0911,7.0537,1.5281,0.4658,1607.177,1,1,1,681
r0_measured_00296,neo4j-native,32,0,lr000015::conv-41_qa_61,lr000015::conv-41,lr000015::conv-41_session_31_D31:2,1,15,9.3209,42.6572,58.5713,105.7292,333.7493,1233.2431,9.329,0.8832,0.4173,1577.7178,1,1,1,661
r0_measured_00379,neo4j-native,32,0,lr000007::conv-43_qa_121,lr000007::conv-43,lr000007::conv-43_session_14_D14:7,0,3,8.107,37.5554,37.5601,127.2094,426.6813,1205.0141,21.5799,1.3972,0.3574,1655.1078,1,1,1,678
r0_measured_00380,neo4j-native,32,0,lr000004::conv-30_qa_56,lr000004::conv-30,lr000004::conv-30_session_6_D6:15,1,8,20.2963,134.5244,157.179,189.6162,325.8417,603.6873,5.9407,0.3037,0.3809,,0,1,1,366
r0_measured_00412,neo4j-native,32,0,lr000007::conv-44_qa_117,lr000007::conv-44,lr000007::conv-44_session_27_D27:2,1,8,7.4892,45.3909,96.9233,133.3834,400.9786,1106.2123,14.8464,0.4798,0.3556,1522.9541,1,1,1,673
r0_measured_00417,neo4j-native,32,0,lr000010::conv-41_qa_0,lr000010::conv-41,lr000010::conv-41_session_13_D13:16,0,3,8.731,33.0483,33.0527,77.2483,316.0057,1114.3815,6.5114,0.4878,0.3649,1437.8211,1,1,1,661
r0_measured_00467,neo4j-native,32,0,lr000001::conv-49_qa_141,lr000001::conv-49,lr000001::conv-49_session_21_D21:10,0,3,6.2719,35.6202,35.6242,66.8703,265.1585,768.0429,21.7311,0.3606,0.3516,1055.7234,1,1,1,506
r0_measured_00468,neo4j-native,32,0,lr000008::conv-48_qa_70,lr000008::conv-48,lr000008::conv-48_session_23_D23:22,1,9,25.7692,57.6199,81.7837,115.7915,350.5905,1031.1888,10.0076,1.3892,0.3649,1393.6321,1,1,1,678
r0_measured_00508,neo4j-native,32,0,lr000007::conv-43_qa_56,lr000007::conv-43,lr000007::conv-43_session_21_D21:13,0,3,5.962,35.5556,35.5604,81.6328,323.1419,1172.5997,9.4708,1.7466,0.4727,1507.5256,1,1,1,679
r0_measured_00547,neo4j-native,32,0,lr000004::conv-30_qa_75,lr000004::conv-30,lr000004::conv-30_session_15_D15:12,0,3,7.9798,44.1566,44.1629,72.9716,216.246,730.6477,2.7627,0.6836,0.3533,,0,1,1,367
r0_measured_00549,neo4j-native,32,0,lr000012::conv-50_qa_103,lr000012::conv-50,lr000012::conv-50_session_16_D16:14,1,13,8.8825,45.6757,65.5671,102.4035,322.1715,1032.7465,6.8237,0.4603,0.3889,,0,1,1,568
r0_measured_00551,neo4j-native,32,0,lr000011::conv-42_qa_54,lr000011::conv-42,lr000011::conv-42_session_25_D25:1,0,3,7.7718,34.531,34.5356,74.2381,303.4915,1149.1235,16.9953,0.7327,0.349,,0,1,1,627
r0_measured_00558,neo4j-native,32,0,lr000006::conv-47_qa_121,lr000006::conv-47,lr000006::conv-47_session_23_D23:3,1,8,8.7363,70.5942,116.0919,155.3879,418.9258,1317.8315,18.9479,0.8881,0.3969,1757.0642,1,1,1,686
r0_measured_00559,neo4j-native,32,0,lr000003::conv-44_qa_14,lr000003::conv-44,lr000003::conv-44_session_3_D3:7,0,3,5.7615,64.9657,64.9733,126.5054,385.0246,1254.6669,7.6395,2.2201,0.4332,1650.0653,1,1,1,674
r0_measured_00591,neo4j-native,32,0,lr000009::conv-44_qa_84,lr000009::conv-44,lr000009::conv-44_session_13_D13:6,0,3,5.4113,66.5808,66.5885,105.5878,387.4021,969.2155,8.5015,0.9767,0.3605,1366.5426,1,1,1,674
r0_measured_00599,neo4j-native,32,0,lr000011::conv-43_qa_48,lr000011::conv-43,lr000011::conv-43_session_18_D18:2,1,8,8.3083,42.2848,70.3569,114.9413,355.677,1071.161,7.6524,0.5023,0.3763,1435.4511,1,1,1,679
r0_measured_00657,neo4j-native,32,0,lr000011::conv-47_qa_93,lr000011::conv-47,lr000011::conv-47_session_12_D12:5,0,3,5.9442,32.3307,32.3348,129.6664,376.3727,1130.0436,18.8095,0.5136,0.3471,1526.1795,1,1,1,686
r0_measured_00664,neo4j-native,32,0,lr000008::conv-48_qa_177,lr000008::conv-48,lr000008::conv-48_session_27_D27:9,1,15,8.8621,59.5169,79.9028,115.0444,346.6466,1175.3876,18.0844,2.3256,0.3991,,0,1,1,679
r0_measured_00681,neo4j-native,32,0,lr000015::conv-47_qa_1,lr000015::conv-47,lr000015::conv-47_session_1_D1:26,0,3,6.6775,34.0932,34.0976,78.0006,326.2328,1229.7166,4.134,0.5059,0.607,,0,1,1,688
r0_measured_00701,neo4j-native,32,0,lr000011::conv-47_qa_39,lr000011::conv-47,lr000011::conv-47_session_18_D18:1,1,9,9.1073,47.1279,68.6589,107.7552,385.6017,1259.3903,11.8496,0.504,0.3516,1657.7757,1,1,1,687
r0_measured_00703,neo4j-native,32,0,lr000012::conv-44_qa_121,lr000012::conv-44,lr000012::conv-44_session_28_D28:10,1,8,9.0693,66.3051,96.92,128.7199,387.8021,1259.7999,13.9238,1.7699,0.3552,1663.7265,1,1,1,674
r0_measured_00708,neo4j-native,32,0,lr000004::conv-42_qa_7,lr000004::conv-42,lr000004::conv-42_session_2_D2:3,1,13,6.4419,46.1775,72.6302,110.4589,333.6918,1221.7052,7.9201,0.7653,0.367,1564.5505,1,1,1,627
r0_measured_00722,neo4j-native,32,0,lr000005::conv-41_qa_98,lr000005::conv-41,lr000005::conv-41_session_15_D15:13,1,11,6.814,46.2073,70.863,158.7222,423.9351,1116.1501,7.4925,0.9211,0.5246,1549.1326,1,1,1,663
r0_measured_00729,neo4j-native,32,0,lr000011::conv-50_qa_48,lr000011::conv-50,lr000011::conv-50_session_22_D22:1,1,11,7.3743,46.0098,72.7196,111.4556,353.8531,911.6177,7.4386,0.3962,0.3683,,0,1,1,566
r0_measured_00734,neo4j-native,32,0,lr000002::conv-43_qa_140,lr000002::conv-43,lr000002::conv-43_session_19_D19:10,0,3,9.5589,46.7669,46.7714,84.7507,358.38,992.8515,16.341,1.5573,0.3896,1369.6025,1,1,1,680
r0_measured_00737,neo4j-native,32,0,lr000014::conv-43_qa_159,lr000014::conv-43,lr000014::conv-43_session_26_D26:1,1,8,6.5501,45.7287,72.2548,111.62,380.0163,1069.8947,5.1124,0.479,0.346,1455.9144,1,1,1,680
r0_measured_00774,neo4j-native,32,0,lr000013::conv-41_qa_134,lr000013::conv-41,lr000013::conv-41_session_27_D27:11,1,8,6.4985,35.8924,58.4396,101.947,449.3031,1070.4955,16.3508,0.9909,0.3816,,0,1,1,662
r0_measured_00787,neo4j-native,32,0,lr000002::conv-41_qa_2,lr000002::conv-41,lr000002::conv-41_session_2_D2:28,1,8,8.2012,45.7267,64.6349,153.7668,353.5404,1129.9699,9.3415,0.7357,0.3911,1494.0713,1,1,1,661
r0_measured_00815,neo4j-native,32,0,lr000004::conv-30_qa_42,lr000004::conv-30,lr000004::conv-30_session_1_D1:19,0,3,7.2623,50.2881,50.2952,90.2269,253.6765,596.622,7.1605,1.1232,0.3595,859.014,1,1,1,368
r0_measured_00817,neo4j-native,32,0,lr000003::conv-49_qa_69,lr000003::conv-49,lr000003::conv-49_session_19_D19:1,1,9,8.3411,67.4346,95.3404,135.96,320.9773,847.3742,12.8962,0.3698,0.3392,1182.023,1,1,1,509
r0_measured_00862,neo4j-native,32,0,lr000002::conv-50_qa_107,lr000002::conv-50,lr000002::conv-50_session_17_D17:5,1,15,7.5929,46.8646,87.3482,124.5987,352.5512,953.9971,35.519,0.8249,0.3841,1343.3578,1,1,1,566
r0_measured_00869,neo4j-native,32,0,lr000009::conv-42_qa_181,lr000009::conv-42,lr000009::conv-42_session_26_D26:18,0,3,8.1336,41.5678,41.5722,72.7478,302.6669,1045.1779,19.9235,1.3637,0.3949,1369.608,1,1,1,628
r0_measured_00873,neo4j-native,32,0,lr000001::conv-47_qa_70,lr000001::conv-47,lr000001::conv-47_session_2_D2:12,1,8,7.7353,45.5128,63.8882,96.8362,317.365,1225.674,11.0525,0.7768,0.3709,1555.3232,1,1,1,687
r0_measured_00893,neo4j-native,32,0,lr000006::conv-47_qa_92,lr000006::conv-47,lr000006::conv-47_session_11_D11:3,0,3,7.027,32.4697,32.4748,79.2724,342.1135,1366.8257,28.8731,0.7338,0.3579,1738.9856,1,1,1,687
r0_measured_00907,neo4j-native,32,0,lr000011::conv-49_qa_116,lr000011::conv-49,lr000011::conv-49_session_11_D11:8,0,3,13.7355,47.6747,47.6794,86.7031,299.5959,872.26,14.6894,0.5945,0.3292,1187.526,1,1,1,509
r0_measured_00914,neo4j-native,32,0,lr000003::conv-41_qa_6,lr000003::conv-41,lr000003::conv-41_session_4_D4:1,1,13,6.4495,48.8335,82.1765,128.3526,443.6622,1059.6502,3.0543,1.0052,0.3805,1507.8465,1,1,1,658
r0_measured_00930,neo4j-native,32,0,lr000001::conv-49_qa_28,lr000001::conv-49,lr000001::conv-49_session_6_D6:4,0,3,5.5842,44.1179,44.1249,88.7274,274.4049,873.6119,28.643,7.1708,0.4533,,0,1,1,507
r0_measured_00952,neo4j-native,32,0,lr000000::conv-49_qa_60,lr000000::conv-49,lr000000::conv-49_session_13_D13:8,0,3,7.2191,34.6794,34.6839,66.9832,257.1635,879.4825,10.5203,0.5929,0.3809,,0,1,1,508
r0_measured_00969,neo4j-native,32,0,lr000011::conv-42_qa_169,lr000011::conv-42,lr000011::conv-42_session_24_D24:4,1,8,8.5423,43.4459,60.4677,99.4214,378.7148,1071.3622,5.2126,0.8667,0.3477,,0,1,1,628
r0_measured_00975,neo4j-native,32,0,lr000015::conv-50_qa_28,lr000015::conv-50,lr000015::conv-50_session_5_D5:8,1,11,8.1478,41.1323,83.2141,123.9187,325.3023,949.6647,5.4664,1.0659,0.3576,1281.9205,1,1,1,564
r0_measured_00976,neo4j-native,32,0,lr000001::conv-44_qa_86,lr000001::conv-44,lr000001::conv-44_session_14_D14:4,1,9,9.5824,68.5929,117.6127,160.603,383.6208,1145.1083,16.7791,1.3508,0.3366,1547.2789,1,1,1,673
r0_measured_00993,neo4j-native,32,0,lr000004::conv-42_qa_35,lr000004::conv-42,lr000004::conv-42_session_19_D19:9,1,8,7.8167,43.4397,75.9708,111.9685,396.3827,1030.7922,16.2255,1.4125,0.4559,1445.3592,1,1,1,628
r0_measured_00997,neo4j-native,32,0,lr000002::conv-42_qa_71,lr000002::conv-42,lr000002::conv-42_session_11_D11:9,1,9,12.2503,57.2627,92.6451,131.0281,352.535,1047.4964,16.6857,0.8539,0.4163,1418.0849,1,1,1,629
r0_measured_01045,neo4j-native,32,0,lr000010::conv-49_qa_101,lr000010::conv-49,lr000010::conv-49_session_7_D7:2,1,11,6.9549,41.3048,58.3572,103.701,287.7981,1045.8141,24.3866,0.6592,0.414,1359.1468,1,1,1,508
r0_measured_01056,neo4j-native,32,0,lr000013::conv-47_qa_94,lr000013::conv-47,lr000013::conv-47_session_13_D13:8,1,13,10.5437,48.3255,82.1956,120.296,445.5166,1248.9946,20.4668,1.8942,0.3868,,0,1,1,688
r0_measured_01058,neo4j-native,32,0,lr000004::conv-30_qa_49,lr000004::conv-30,lr000004::conv-30_session_3_D3:6,1,11,13.2389,74.5737,92.1201,118.8851,329.9649,693.7225,7.1895,0.2615,0.3358,1031.5339,1,1,1,369
