op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,edge_count,logical_mutations,commit_ms,graph_visible_ms,relation_candidates_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,graph_projection_ok,relation_candidate_ok,candidate_count
r2_measured_04634,neo4j-native,32,2,lr000013::conv-50_qa_53,lr000013::conv-50,lr000013::conv-50_session_25_D25:6,1,17,7.9754,55.3901,83.656,132.1531,480.2053,1029.8827,10.5771,0.6893,0.3884,1521.8253,1,1,1,568
r2_measured_04686,neo4j-native,32,2,lr000002::conv-44_qa_16,lr000002::conv-44,lr000002::conv-44_session_11_D11:7,1,13,7.8297,50.7572,87.6235,137.1829,369.0954,1391.2099,7.353,0.8108,0.4052,,0,1,1,675
r2_measured_04716,neo4j-native,32,2,lr000006::conv-26_qa_23,lr000006::conv-26,lr000006::conv-26_session_7_D7:8,1,8,12.3233,63.5692,96.7385,129.741,358.0012,801.1845,1.6996,0.7844,0.3818,1162.1212,1,1,1,419
r2_measured_04719,neo4j-native,32,2,lr000013::conv-26_qa_134,lr000013::conv-26,lr000013::conv-26_session_17_D17:7,1,8,9.0737,45.1006,76.6541,140.0724,303.8944,826.0363,3.4632,0.5305,0.8465,,0,1,1,419
r2_measured_04730,neo4j-native,32,2,lr000007::conv-48_qa_119,lr000007::conv-48,lr000007::conv-48_session_8_D8:16,2,16,10.3255,59.1468,110.1916,151.0992,417.5597,1388.7893,11.6804,0.7986,0.4436,1819.3636,1,1,1,681
r2_measured_04743,neo4j-native,32,2,lr000016::conv-49_qa_84,lr000016::conv-49,lr000016::conv-49_session_1_D1:16,1,7,7.6672,45.5964,74.7294,125.4917,405.5737,1048.1505,10.0208,0.4327,0.3387,,0,1,1,508
r2_measured_04746,neo4j-native,32,2,lr000009::conv-49_qa_18,lr000009::conv-49,lr000009::conv-49_session_3_D3:5,1,8,9.2931,63.0092,111.0235,163.3908,359.6552,1010.3263,13.3862,1.749,0.3752,,0,1,1,509
r2_measured_04768,neo4j-native,32,2,lr000016::conv-48_qa_52,lr000016::conv-48,lr000016::conv-48_session_16_D16:2,1,13,9.4152,50.2149,73.1183,124.4533,412.1114,1316.4775,13.0229,4.0281,0.9553,1746.738,1,1,1,680
r2_measured_04776,neo4j-native,32,2,lr000000::conv-50_qa_122,lr000000::conv-50,lr000000::conv-50_session_23_D23:9,0,3,7.4106,43.5423,43.5477,84.8387,306.2417,1168.3255,17.0804,1.1441,0.5398,1493.4472,1,1,1,568
r2_measured_04784,neo4j-native,32,2,lr000006::conv-47_qa_140,lr000006::conv-47,lr000006::conv-47_session_28_D28:3,2,16,17.0386,66.0206,108.9116,161.0507,417.6132,1293.5013,7.4264,0.7917,0.3659,1719.7859,1,1,1,689
